,time,order,month,day,weekday
0,2018-01-01,6305,1,1,7
1,2018-01-02,6165,1,2,1
2,2018-01-03,2821,1,3,2
3,2018-01-04,10819,1,4,3
4,2018-01-05,11465,1,5,4
5,2018-01-06,2683,1,6,5
6,2018-01-07,9780,1,7,6
7,2018-01-08,6380,1,8,7
8,2018-01-09,15121,1,9,1
9,2018-01-10,4766,1,10,2
10,2018-01-11,6141,1,11,3
11,2018-01-12,4117,1,12,4
12,2018-01-13,6369,1,13,5
13,2018-01-14,6355,1,14,6
14,2018-01-15,5405,1,15,7
15,2018-01-16,12601,1,16,1
16,2018-01-17,5761,1,17,2
17,2018-01-18,9710,1,18,3
18,2018-01-19,11160,1,19,4
19,2018-01-20,1249,1,20,5
20,2018-01-21,10906,1,21,6
21,2018-01-22,12943,1,22,7
22,2018-01-23,6857,1,23,1
23,2018-01-24,7924,1,24,2
24,2018-01-25,9320,1,25,3
25,2018-01-26,1540,1,26,4
26,2018-01-27,3957,1,27,5
27,2018-01-28,14003,1,28,6
28,2018-01-29,10957,1,29,7
29,2018-01-30,1900,1,30,1
30,2018-01-31,15704,1,31,2
31,2018-02-01,2819,2,1,3
32,2018-02-02,11151,2,2,4
33,2018-02-03,11904,2,3,5
34,2018-02-04,9739,2,4,6
35,2018-02-05,8635,2,5,7
36,2018-02-06,3938,2,6,1
37,2018-02-07,1430,2,7,2
38,2018-02-08,5644,2,8,3
39,2018-02-09,4023,2,9,4
40,2018-02-10,15667,2,10,5
41,2018-02-11,9038,2,11,6
42,2018-02-12,8296,2,12,7
43,2018-02-13,3436,2,13,1
44,2018-02-14,22847,2,14,2
45,2018-02-15,14223,2,15,3
46,2018-02-16,1888,2,16,4
47,2018-02-17,6589,2,17,5
48,2018-02-18,5330,2,18,6
49,2018-02-19,13100,2,19,7
50,2018-02-20,4759,2,20,1
51,2018-02-21,6448,2,21,2
52,2018-02-22,13054,2,22,3
53,2018-02-23,11603,2,23,4
54,2018-02-24,9631,2,24,5
55,2018-02-25,36641,2,25,6
56,2018-02-26,23150,2,26,7
57,2018-02-27,9725,2,27,1
58,2018-02-28,12286,2,28,2
59,2018-03-01,11107,3,1,3
60,2018-03-02,10201,3,2,4
61,2018-03-03,19144,3,3,5
62,2018-03-04,6842,3,4,6
63,2018-03-05,15127,3,5,7
64,2018-03-06,10456,3,6,1
65,2018-03-07,37586,3,7,2
66,2018-03-08,22315,3,8,3
67,2018-03-09,10093,3,9,4
68,2018-03-10,38604,3,10,5
69,2018-03-11,29825,3,11,6
70,2018-03-12,17932,3,12,7
71,2018-03-13,13565,3,13,1
72,2018-03-14,17348,3,14,2
73,2018-03-15,6856,3,15,3
74,2018-03-16,13025,3,16,4
75,2018-03-17,15690,3,17,5
76,2018-03-18,20762,3,18,6
77,2018-03-19,18318,3,19,7
78,2018-03-20,30498,3,20,1
79,2018-03-21,14924,3,21,2
80,2018-03-22,17584,3,22,3
81,2018-03-23,15356,3,23,4
82,2018-03-24,23580,3,24,5
83,2018-03-25,5910,3,25,6
84,2018-03-26,23662,3,26,7
85,2018-03-27,9510,3,27,1
86,2018-03-28,16617,3,28,2
87,2018-03-29,24458,3,29,3
88,2018-03-30,12196,3,30,4
89,2018-03-31,16862,3,31,5
90,2018-04-01,8454,4,1,6
91,2018-04-02,15026,4,2,7
92,2018-04-03,7741,4,3,1
93,2018-04-04,9027,4,4,2
94,2018-04-05,24875,4,5,3
95,2018-04-06,13337,4,6,4
96,2018-04-07,14339,4,7,5
97,2018-04-08,12091,4,8,6
98,2018-04-09,14108,4,9,7
99,2018-04-10,24426,4,10,1
100,2018-04-11,27065,4,11,2
101,2018-04-12,10312,4,12,3
102,2018-04-13,12133,4,13,4
103,2018-04-14,14925,4,14,5
104,2018-04-15,24121,4,15,6
